AccidentSeverity,Country,LightCondition,WeatherCondition,AccidentMonth,AccidentDay,Accidents
Serious,England,Daylight,Unknown,August,Friday,5
Serious,England,Daylight,Unknown,July,Friday,4
Serious,England,Daylight,Unknown,June,Friday,4
Serious,England,Daylight,Unknown,May,Friday,4
Serious,England,Daylight,Unknown,April,Friday,3
Serious,England,Daylight,Unknown,January,Friday,2
Serious,England,Daylight,Unknown,August,Thursday,4
Serious,England,Daylight,Unknown,September,Thursday,4
Serious,England,Daylight,Unknown,May,Thursday,7
Serious,England,Daylight,Unknown,April,Thursday,1
Serious,England,Daylight,Unknown,March,Thursday,3
Serious,England,Daylight,Unknown,January,Thursday,1
Fatal,England,Daylight,Unknown,April,Thursday,1
Serious,England,Daylight,Unknown,August,Wednesday,3
Serious,England,Daylight,Unknown,June,Wednesday,3
Serious,England,Daylight,Unknown,April,Wednesday,2
Serious,England,Daylight,Unknown,March,Wednesday,4
Serious,England,Daylight,Unknown,January,Wednesday,2
Fatal,England,Daylight,Unknown,August,Wednesday,1
Serious,England,Daylight,Unknown,June,Tuesday,5
Serious,England,Daylight,Unknown,May,Tuesday,4
Serious,England,Daylight,Unknown,February,Tuesday,3
Serious,England,Darkness - lights lit,Unknown,May,Tuesday,2
Serious,England,Darkness - lights lit,Unknown,March,Tuesday,2
Serious,England,Daylight,Unknown,May,Monday,2
Serious,England,Daylight,Unknown,April,Monday,3
Serious,England,Daylight,Unknown,March,Monday,5
Serious,England,Daylight,Unknown,February,Monday,3
Serious,England,Darkness - lights lit,Unknown,September,Monday,1
Serious,England,Darkness - lights lit,Unknown,March,Monday,1
Serious,England,Daylight,Unknown,March,Sunday,2
Serious,England,Daylight,Unknown,January,Sunday,3
Fatal,England,Daylight,Unknown,July,Sunday,1
Serious,England,Darkness - lights lit,Unknown,May,Sunday,2
Serious,England,Darkness - lights lit,Unknown,February,Sunday,2
Serious,England,Daylight,Fine no high winds,August,Friday,195
Serious,England,Daylight,Fine no high winds,July,Friday,282
Serious,England,Daylight,Fine no high winds,June,Friday,259
Serious,England,Daylight,Fine no high winds,May,Friday,198
Serious,England,Daylight,Fine no high winds,April,Friday,215
Serious,England,Daylight,Fine no high winds,March,Friday,144
Serious,England,Daylight,Fine no high winds,February,Friday,108
Serious,England,Daylight,Fine no high winds,January,Friday,111
Fatal,Scotland,Daylight,Fine no high winds,September,Friday,2
Fatal,Scotland,Daylight,Fine no high winds,August,Friday,4
Fatal,Scotland,Daylight,Fine no high winds,June,Friday,1
Fatal,Scotland,Daylight,Fine no high winds,April,Friday,3
Fatal,Scotland,Daylight,Fine no high winds,February,Friday,1
