AccidentSeverity,Region,LightCondition,WeatherCondition,AccidentMonth,AccidentDay,Accidents
Slight,North East,Darkness - no lighting,Fine,January,Saturday,2
Slight,North East,Daylight,Fine,January,Sunday,11
Fatal,North East,Daylight,Fine,January,Saturday,1
Slight,North East,Daylight,Fine,January,Monday,14
Serious,North East,Daylight,Unknown,January,Monday,1
Slight,North East,Daylight,Fine,January,Saturday,11
Slight,North East,Daylight,Raining,January,Monday,1
Slight,North East,Darkness - lights lit,Unknown,January,Monday,2
Slight,North East,Darkness - lights lit,Fine,January,Sunday,9
Serious,North East,Daylight,Fine,January,Monday,9
Slight,North East,Darkness - lights lit,Fine,January,Tuesday,12
Serious,North East,Daylight,Fine,January,Tuesday,2
Slight,North East,Daylight,Fine,January,Tuesday,25
Slight,North East,Daylight,Unknown,January,Tuesday,1
Slight,North East,Darkness - lights lit,Fine,January,Wednesday,14
Slight,North East,Daylight,Unknown,January,Wednesday,1
Slight,North East,Daylight,Fine,January,Wednesday,21
Serious,North East,Darkness - no lighting,Fine,January,Tuesday,2
Serious,North East,Darkness - no lighting,Fine,January,Wednesday,2
Slight,North East,Daylight,Other,January,Friday,1
Slight,North East,Daylight,Fine,January,Friday,30
Slight,North East,Darkness - lights lit,Unknown,January,Friday,2
Slight,North East,Darkness - lights lit,Fine,January,Friday,8
Slight,North East,Darkness - lights lit,Fine,January,Saturday,8
Serious,North East,Darkness - lights unlit,Fine,January,Friday,1
Serious,North East,Darkness - lights lit,Fine,January,Saturday,4
Slight,North East,Darkness - lights lit,Fine,January,Monday,13
Slight,North East,Darkness - no lighting,Raining,January,Thursday,1
Serious,North East,Darkness - lights lit,Raining,January,Monday,1
Slight,North East,Daylight,Other,January,Wednesday,1
Slight,North East,Darkness - no lighting,Fine,January,Tuesday,1
Serious,North East,Daylight,Fine,January,Thursday,4
Slight,North East,Darkness - lights lit,Fine,January,Thursday,9
Serious,North East,Darkness - lights lit,Fine,January,Sunday,5
Serious,North East,Daylight,Fine,January,Saturday,4
Serious,North East,Darkness - lights lit,Other,January,Friday,1
Serious,North East,Daylight,Fine,January,Sunday,6
Slight,North East,Daylight,Fine,January,Thursday,10
Serious,North East,Darkness - lights lit,Other,January,Sunday,1
Serious,North East,Daylight,Fine,January,Wednesday,3
Serious,North East,Darkness - lights lit,Fine,January,Tuesday,2
Slight,North East,Darkness - no lighting,Fine,January,Thursday,2
Slight,North East,Darkness - no lighting,Fine,January,Friday,1
Slight,North East,Darkness - lights lit,Unknown,January,Saturday,1
Slight,North East,Daylight,Unknown,January,Friday,1
Slight,North East,Darkness - lighting unknown,Fine,January,Saturday,1
Slight,North East,Daylight,Fine + high winds,January,Wednesday,1
Serious,North East,Darkness - lights lit,Raining,January,Friday,1
Slight,North East,Darkness - lighting unknown,Fine,January,Thursday,1
Slight,North East,Darkness - lights lit,Unknown,January,Thursday,1
Fatal,North East,Daylight,Fine,January,Friday,1
Slight,North East,Darkness - lights lit,Unknown,January,Wednesday,1
Serious,North East,Darkness - lights lit,Fine + high winds,January,Saturday,1
Slight,North East,Daylight,Fine,February,Tuesday,15
Serious,North East,Daylight,Fine,February,Tuesday,5
Slight,North East,Darkness - lights unlit,Fine,January,Friday,2
Slight,North East,Darkness - lights lit,Fine,February,Wednesday,2
Fatal,North East,Darkness - no lighting,Fine,February,Wednesday,1
Slight,North East,Daylight,Unknown,January,Sunday,1
Serious,North East,Daylight,Fine,February,Wednesday,4
Slight,North East,Daylight,Fine + high winds,February,Tuesday,4
Slight,North East,Daylight,Fine + high winds,February,Wednesday,2
Serious,North East,Darkness - lights lit,Raining,February,Tuesday,1
Slight,North East,Daylight,Fine,February,Friday,19
Slight,North East,Daylight,Fine,February,Thursday,13
Slight,North East,Darkness - lights lit,Fine,February,Saturday,4
Serious,North East,Daylight,Fine,January,Friday,4
Slight,North East,Darkness - lights lit,Unknown,February,Saturday,1
Slight,North East,Daylight,Fine,February,Sunday,3
Slight,North East,Daylight,Unknown,February,Monday,1
Serious,North East,Darkness - lights lit,Fine,February,Thursday,2
